City,Temperature (F),Humitidy (%),Cloudiness (%),Wind Speed (mph),Lattitude,Longitude,Distance From Equator
jamame,75.2,84.0,88.0,13.09,0.07,42.75,0.07
camopi,84.47,78.0,44.0,2.8,3.17,-52.33,3.17
heihe,62.6,93.0,20.0,2.24,50.24,127.51,50.24
meulaboh,79.88,100.0,64.0,2.57,4.14,96.13,4.14
biasca,78.58,58.0,20.0,9.17,46.36,8.97,46.36
puerto el triunfo,91.4,59.0,20.0,3.36,13.27,-88.55,13.27
semirom,60.71,30.0,0.0,4.47,31.41,51.57,31.41
mezen,55.49,66.0,92.0,4.7,65.85,44.24,65.85
gizo,82.4,69.0,20.0,9.17,31.8,34.94,31.8
lata,60.35,100.0,80.0,1.34,30.78,78.62,30.78
kushima,78.26,100.0,0.0,4.47,31.5,131.29,31.5
harper,83.53,51.0,75.0,8.84,30.3,-99.24,30.3
hay river,64.4,88.0,75.0,10.29,60.82,-115.79,60.82
vaitape,80.42,97.0,0.0,12.53,-16.52,-151.75,16.52
road town,86.99,74.0,40.0,11.41,18.42,-64.62,18.42
la joya,63.86,95.0,92.0,1.12,19.61,-97.03,19.61
lakes entrance,50.9,71.0,8.0,17.0,-37.88,147.99,37.88
duliagaon,80.6,92.0,8.0,1.57,27.37,95.32,27.37
burns lake,69.35,47.0,0.0,5.48,54.23,-125.76,54.23
buchanan,82.4,69.0,75.0,5.82,5.88,-10.05,5.88
christchurch,46.4,100.0,80.0,10.29,-43.53,172.64,43.53
gejiu,64.22,98.0,88.0,2.13,23.36,103.16,23.36
okakarara,68.45,32.0,0.0,8.05,-20.59,17.46,20.59
dese,91.44,43.0,0.0,4.7,45.53,12.3,45.53
kandrian,74.03,100.0,92.0,4.25,-6.21,149.55,6.21
belawan,73.67,96.0,68.0,2.13,-0.59,114.46,0.59
saint-pierre,94.19,20.0,0.0,6.93,48.95,4.24,48.95
stranraer,69.8,68.0,20.0,17.22,51.71,-108.48,51.71
pangani,76.73,88.0,80.0,15.55,-2.37,40.57,2.37
boa vista,82.4,74.0,75.0,9.17,2.82,-60.67,2.82
san jose,71.78,100.0,76.0,1.9,15.79,120.99,15.79
hirado,82.13,100.0,0.0,14.09,33.32,129.49,33.32
xai-xai,67.82,100.0,0.0,8.61,-25.04,33.64,25.04
sarkand,69.71,72.0,44.0,2.46,45.41,79.91,45.41
saint-francois,95.0,30.0,0.0,6.93,46.42,3.91,46.42
chase,72.7,88.0,75.0,8.05,43.89,-85.64,43.89
ha giang,69.53,97.0,88.0,1.34,22.83,104.99,22.83
paamiut,44.42,93.0,0.0,11.41,61.99,-49.67,61.99
denia,86.45,74.0,12.0,16.22,38.84,0.11,38.84
feldkirchen an der donau,86.0,30.0,12.0,6.93,48.34,14.05,48.34
miri,71.06,95.0,92.0,2.24,10.31,9.75,10.31
antofagasta,59.0,72.0,20.0,11.41,-23.65,-70.4,23.65
mapastepec,82.94,81.0,12.0,2.57,15.44,-92.9,15.44
ocampo,79.88,95.0,68.0,9.73,13.56,123.37,13.56
fairbanks,55.98,93.0,90.0,11.41,64.84,-147.72,64.84
mathbaria,79.97,98.0,92.0,7.38,22.29,89.96,22.29
riyadh,104.0,11.0,40.0,13.87,24.63,46.72,24.63
awjilah,97.97,21.0,0.0,6.38,29.14,21.3,29.14
labuan,74.17,94.0,75.0,1.12,5.28,115.24,5.28
salinopolis,83.48,90.0,0.0,14.76,-0.61,-47.36,0.61
chengde,70.79,99.0,92.0,1.57,40.97,117.93,40.97
yurino,75.2,44.0,20.0,11.18,56.29,46.29,56.29
hofn,51.8,81.0,90.0,12.75,64.25,-15.21,64.25
churapcha,49.82,91.0,56.0,2.57,62.0,132.43,62.0
dwarka,82.4,78.0,75.0,4.7,28.58,77.04,28.58
redlands,78.8,47.0,1.0,1.9,34.06,-117.19,34.06
bouca,78.98,76.0,0.0,4.36,6.51,18.28,6.51
tugulym,66.2,82.0,20.0,4.47,57.06,64.64,57.06
eyrarbakki,54.36,58.0,40.0,20.8,63.86,-21.15,63.86
pangoa,70.25,86.0,80.0,2.91,-12.12,-73.0,12.12
dubbo,41.0,91.0,36.0,1.12,-32.25,148.6,32.25
batagay-alyta,38.3,84.0,0.0,2.35,67.8,130.41,67.8
castillo de teayo,78.8,83.0,75.0,4.7,20.75,-97.63,20.75
sredniy ikorets,70.25,76.0,20.0,4.03,51.07,39.76,51.07
lanja,70.88,99.0,92.0,8.39,16.84,73.55,16.84
ust-omchug,43.97,92.0,92.0,2.35,61.13,149.63,61.13
aksu,66.2,52.0,0.0,11.18,52.04,76.93,52.04
panacan,77.0,100.0,75.0,2.24,7.15,125.66,7.15
udachnyy,51.53,61.0,12.0,3.91,66.42,112.4,66.42
sao paulo de olivenca,73.85,98.0,92.0,2.91,-3.38,-68.87,3.38
karwar,69.98,99.0,92.0,2.8,14.8,74.13,14.8
mayumba,70.34,94.0,76.0,5.37,-3.44,10.65,3.44
hailey,64.4,36.0,5.0,9.17,43.52,-114.32,43.52
marystown,59.45,99.0,92.0,14.76,47.17,-55.16,47.17
hole narsipur,68.9,90.0,64.0,14.43,12.78,76.24,12.78
san joaquin,74.57,98.0,88.0,9.95,10.59,122.14,10.59
aitape,77.81,100.0,64.0,6.6,-3.15,142.36,3.15
dunhua,61.79,99.0,100.0,6.38,43.37,128.23,43.37
banjar,58.91,92.0,12.0,2.13,-7.37,108.54,7.37
tamandare,69.8,83.0,90.0,6.93,-8.28,-70.75,8.28
bolshaya glushitsa,76.55,60.0,44.0,2.46,50.24,43.59,50.24
loikaw,68.63,100.0,92.0,2.68,19.67,97.21,19.67
nikki,74.03,95.0,64.0,3.8,9.94,3.21,9.94
katsuura,78.62,85.0,0.0,6.6,33.93,134.5,33.93
boma,72.41,100.0,92.0,3.91,11.23,4.46,11.23
plettenberg bay,60.98,93.0,0.0,11.74,-34.05,23.37,34.05
yumen,63.77,55.0,0.0,6.71,40.29,97.04,40.29
goure,75.92,82.0,32.0,9.17,13.98,10.27,13.98
montepuez,72.32,54.0,0.0,8.61,-13.13,39.0,13.13
sechura,72.32,84.0,0.0,11.18,-5.56,-80.82,5.56
sayaxche,83.57,86.0,48.0,3.69,16.52,-90.17,16.52
porto murtinho,71.33,84.0,92.0,2.68,-21.7,-57.88,21.7
kulhudhuffushi,82.4,100.0,88.0,14.76,6.62,73.07,6.62
strelka,47.57,93.0,56.0,2.35,58.08,93.03,58.08
nueve de julio,69.62,42.0,0.0,5.14,-31.67,-68.39,31.67
carlisle,59.0,100.0,80.0,16.11,54.89,-2.94,54.89
plouzane,77.02,60.0,0.0,10.29,48.38,-4.62,48.38
kosai,84.2,74.0,75.0,6.93,34.71,137.53,34.71
artyom,60.8,100.0,76.0,6.93,43.36,132.19,43.36
jalu,98.06,22.0,0.0,6.82,29.03,21.55,29.03
joensuu,57.2,76.0,40.0,6.93,62.6,29.76,62.6
chapleau,73.4,69.0,40.0,5.82,47.85,-83.4,47.85
phibun mangsahan,77.0,94.0,75.0,11.41,15.24,105.23,15.24
cururupu,86.27,69.0,48.0,11.3,-1.82,-44.87,1.82
changping,78.8,88.0,0.0,4.47,40.22,116.23,40.22
osmena,79.7,95.0,68.0,10.74,12.17,124.59,12.17
bluefields,84.2,83.0,40.0,4.7,12.01,-83.77,12.01
chiredzi,74.93,57.0,0.0,7.83,-21.05,31.67,21.05
kuchera,84.38,65.0,92.0,9.17,26.99,73.97,26.99
rafraf,77.0,83.0,40.0,5.82,37.19,10.18,37.19
kingaroy,54.23,96.0,36.0,4.92,-26.54,151.84,26.54
port-cartier,64.4,93.0,90.0,3.36,50.03,-66.88,50.03
cabra,104.23,14.0,20.0,2.24,37.47,-4.43,37.47
saint-augustin,95.81,20.0,0.0,6.93,44.83,-0.61,44.83
evensk,51.17,100.0,92.0,4.59,61.92,159.24,61.92
avera,89.96,59.0,1.0,6.93,33.19,-82.53,33.19
shagonar,46.94,97.0,0.0,2.01,51.54,92.92,51.54
chernyshevskiy,50.45,79.0,44.0,4.25,63.01,112.47,63.01
sovetskiy,69.53,61.0,32.0,9.17,56.76,48.47,56.76
thouars,94.98,19.0,0.0,4.7,46.98,-0.22,46.98
chapais,71.6,73.0,90.0,9.17,49.78,-74.86,49.78
beloha,70.07,46.0,32.0,11.3,-25.17,45.06,25.17
panambi,62.51,80.0,0.0,6.49,-28.29,-53.5,28.29
bonoua,82.4,65.0,40.0,11.41,5.27,-3.6,5.27
isla mujeres,86.0,74.0,75.0,5.82,21.23,-86.73,21.23
mahanoro,65.66,96.0,0.0,4.59,-19.9,48.8,19.9
kanchipuram,87.8,55.0,40.0,8.05,12.84,79.71,12.84
sorland,57.2,76.0,40.0,16.11,67.67,12.69,67.67
urucui,98.33,22.0,0.0,10.63,-7.23,-44.56,7.23
ponta delgada,71.6,73.0,75.0,12.75,37.73,-25.67,37.73
port hardy,53.6,100.0,90.0,2.24,50.7,-127.42,50.7
biltine,80.96,62.0,32.0,5.7,14.53,20.93,14.53
ranfurly,78.62,59.0,0.0,10.51,53.41,-111.68,53.41
mecca,100.4,22.0,0.0,2.24,21.43,39.83,21.43
arvika,66.2,39.0,92.0,10.29,59.65,12.59,59.65
tapejara,68.54,76.0,88.0,4.92,-23.73,-52.87,23.73
bungu,73.67,73.0,0.0,4.7,-7.63,39.06,7.63
kumluca,67.46,62.0,8.0,1.57,36.37,30.29,36.37
kieta,76.73,100.0,56.0,3.91,-6.22,155.63,6.22
locri,86.9,48.0,20.0,10.29,38.24,16.26,38.24
dabola,75.83,81.0,64.0,6.38,10.74,-11.11,10.74
hervey bay,66.56,100.0,92.0,8.95,-25.3,152.85,25.3
san cristobal,59.0,67.0,75.0,20.8,-0.39,-78.55,0.39
minab,98.6,56.0,20.0,9.17,27.15,57.07,27.15
bajitpur,82.4,88.0,90.0,7.72,24.22,90.95,24.22
danjiangkou,78.26,95.0,0.0,1.01,32.54,111.51,32.54
laplace,87.8,62.0,40.0,5.82,30.07,-90.48,30.07
